name,SOURCE_ID,ra,dec,pm,phot_g_mean_mag,match
OGLE2006BLG001,4056449104776891136,267.9331175194225,-29.70548533324681,9.569092,18.46426,54
OGLE2006BLG002,4056480960551507712,268.6706674884377,-29.76889029405462,3.7397256,18.243837,53
OGLE2006BLG003,4062328262206884864,269.92791229996465,-29.375215550041617,7.7932677,17.756191,56
OGLE2006BLG004,4062293730787865728,270.68074431636364,-29.33233856717378,6.652455,16.679073,47
OGLE2006BLG005,4041473382748323328,267.5191011502718,-34.9709510200773,4.1593347,17.265863,71
OGLE2006BLG006,4044168045239678080,269.53130052071293,-30.837033142376402,,20.191195,65
OGLE2006BLG007,4050247343955015040,270.39840877938326,-29.774224854554276,4.8043904,17.480534,53
OGLE2006BLG008,4056456771293337088,267.9671666490077,-29.59263438941798,,19.933784,53
OGLE2006BLG009,4056587510078199040,268.5310439058951,-29.137153993164446,,19.06191,71
OGLE2006BLG010,4062590396937736576,269.6348271533392,-28.567243072631673,8.93497,18.629585,66
OGLE2006BLG012,4050832288320791552,272.0635558376535,-28.322631618803303,6.728798,18.885937,59
OGLE2006BLG013,4062800365114156160,269.7896605609362,-27.50350294408139,4.1019607,19.185127,49
OGLE2006BLG014,4062942614541248896,271.4424376588943,-27.531520350642023,7.545216,16.185396,49
OGLE2006BLG015,4062916127265281280,271.4655647517655,-27.872791726662456,,19.721273,60
OGLE2006BLG016,4062968074911256832,272.27956247568227,-27.469480090189634,3.5209928,18.324545,52
OGLE2006BLG017,4063192444026512768,270.2674591312709,-27.18624249747004,,20.012321,52
OGLE2006BLG018,4056446188487044608,267.77187364337544,-29.869944176325784,8.015604,19.37179,75
OGLE2006BLG019,4056451990954410752,268.0658645023811,-29.7045811318016,7.5287676,17.907927,56
OGLE2006BLG020,4041768185082518784,266.86258947017546,-33.969014027841595,2.6922908,19.945566,68
OGLE2006BLG021,4043207480243466496,268.3129167958361,-33.28995113985212,6.7660804,17.41633,53
OGLE2006BLG022,4043494864918628224,267.8781974687764,-32.70742482127921,14.185212,17.97433,64
OGLE2006BLG023,4043539639958660352,268.77199925781895,-32.480948058175755,4.7772565,17.414228,69
OGLE2006BLG024,Not Detected,271.3196033296857,-26.750877754408485,4.601885,19.289581,Insufficient matches
OGLE2006BLG027,4055697489754860544,268.28435910449315,-31.204965137681604,0.35165283,19.988235,61
OGLE2006BLG028,4056157807181879424,268.25083472061783,-30.493805964812417,9.476656,19.822412,51
OGLE2006BLG029,4062358326996262912,269.8639464309208,-29.136953116689693,7.378022,18.69659,71
OGLE2006BLG031,4050839057193600256,272.1918234250162,-28.20964475945014,9.771414,16.25281,55
OGLE2006BLG032,4043527403724274560,267.91418043388916,-32.1810356881277,,,58
OGLE2006BLG034,4044196112786921856,269.681406709114,-30.417004804649608,7.452105,17.205448,61
OGLE2006BLG035,4062536172916505728,269.2733191820113,-29.06238986089538,,19.391768,62
OGLE2006BLG038,4056354241849989248,267.76673917923034,-30.4361656610748,1.2871861,18.233791,59
OGLE2006BLG040,4056471752146827776,267.9575842431612,-29.463338226967576,10.878056,19.34041,59
OGLE2006BLG041,4056555894983801216,268.4210979310002,-29.4507589324332,10.145901,18.004974,49
OGLE2006BLG042,4062585238704158848,269.53308338085577,-28.595485230916736,,18.687658,70
OGLE2006BLG044,4056169588339950720,268.79262427200774,-30.441071746578853,6.953436,19.668734,28
OGLE2006BLG048,4056217902499414016,269.08953853130555,-30.350077369043202,,20.696047,46
OGLE2006BLG049,4056222815782219392,269.286935073322,-30.262375817103333,9.118881,17.556166,53
OGLE2006BLG052,4056482506741095168,268.4375815843787,-29.81060760429726,,19.491747,54
OGLE2006BLG053,4056276996808344960,269.19697905515955,-30.023979315376586,3.373632,18.553804,72
OGLE2006BLG054,4041915626901606016,266.7747159040187,-33.67973976141823,,20.981684,38
OGLE2006BLG057,4062654611113284480,269.2278317734638,-28.2755969417171,6.699218,17.520613,67
OGLE2006BLG058,4056404230978748544,268.27557913833533,-29.782669617948326,,18.77906,73
OGLE2006BLG059,4056297337826483968,268.89360469501685,-29.811507097722018,1.9749964,15.401507,58
OGLE2006BLG061,4053846904343760256,266.29703478836393,-33.64867969623628,12.227669,18.685303,62
OGLE2006BLG063,4055965216553650944,267.7652625298638,-30.59334099877835,2.707281,18.116407,63
OGLE2006BLG065,4057322430499578112,267.8154319906696,-29.237912474675888,9.7981825,20.444073,31
OGLE2006BLG067,4062565997182985984,269.7199624959259,-28.85882029269678,6.3252115,17.088137,43
OGLE2006BLG071,4062263910617476992,270.1836051879793,-29.55668683724005,3.9009242,18.05055,55
OGLE2006BLG072,4041407476454235776,265.6574226394935,-34.50131434397121,,20.660486,72
OGLE2006BLG074,4041819209353739392,266.567113287742,-33.86850081414683,,19.961815,53
OGLE2006BLG075,4043657768785549312,268.2574753313286,-31.73784213166325,3.7159147,17.918514,60
OGLE2006BLG076,4050370321616623872,271.2053015061006,-29.26529005620848,,18.641356,64
OGLE2006BLG079,4062655744987815040,269.21578949894456,-28.235477669338902,,20.390266,60
OGLE2006BLG080,4055684501811681024,268.4117433617498,-31.273218170900748,4.1029963,18.304308,59
OGLE2006BLG082,4041757743948912640,266.5063112557468,-34.24362665351223,3.7417645,19.031363,62
OGLE2006BLG084,4043648315688565632,268.74620406853296,-31.72479606278081,5.8298635,19.575619,56
OGLE2006BLG086,4056548610532293632,268.19642888566324,-29.539155498212196,3.070664,18.078093,52
OGLE2006BLG088,4063205092601583872,270.7007117412159,-27.013222456011185,2.9995291,19.674223,64
OGLE2006BLG089,4063077858493650688,272.007276857781,-26.903080535861992,5.556632,19.19167,63
OGLE2006BLG092,4062715565089533696,270.6060449005529,-28.00207963983213,9.532258,17.114836,42
OGLE2006BLG094,4062362935477029376,270.16883358026496,-29.038960879372535,,18.592247,39
OGLE2006BLG095,4062558472490201728,269.346388092187,-28.775561296666744,7.862132,17.098656,55
